"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
518617,"Diekman, Jake","L",593,121,"19.6",2.796119070113043,5.572917369,0.5130898293519469,4.757135344317093
657585,"Garrett, Reed","R",953,121,"37.3",-1.7004036261137272,5.594113326,0.0741200782592918,4.243786012741444
681402,"Varland, Gus","R",453,9999,"48.4",-1.2173987163348816,5.367019868,0.2387072021343155,3.726493174046657
628708,"Marte, Yunior","R",482,143,"33.1",-2.2955149375099415,5.551576763,-0.26409664665941834,4.226805648441948
641729,"Jiménez, Joe","R",1089,144,"31.4",-1.9965958556188101,5.654710744,-0.03633453273620995,4.458097843120883
677053,"Nardi, Andrew","L",906,146,"46.7",1.8694890263389428,5.814094923,0.28871382140454,4.13747470674804
623352,"Hader, Josh","L",1151,117,"34.0",2.109451622966334,5.70803649,0.15370403562894228,4.387063268552036
663623,"Irvin, Jake","R",3046,120,"28.5",-2.168957214195466,5.724711097,-0.10945356377493987,4.603897474523153
592454,"Kahnle, Tommy","R",728,147,"35.4",-1.8487682296595238,5.752431319,0.016813882196235135,4.4272604968560865
680573,"Woods Richardson, Simeon","R",2295,142,"46.9",-1.2869274531712966,6.42020915,0.2950366494238818,4.733629990524235
622554,"Domínguez, Seranthony","R",1050,9999,"29.5",-2.072560835385559,5.441904762,-0.09448619760631513,4.324531656395891
689958,"Walters, Andrew","R",132,114,"39.0",-1.7592377743256669,5.909621212,-0.03519311092205479,4.513560900448333
594580,"Moll, Sam","L",624,113,"16.5",2.1983613023613,5.019599359,0.08435090240641718,4.392262176630559
623465,"Phillips, Evan","R",904,119,"25.6",-2.1216807036450906,5.261139381,-0.09404226955263201,4.291960151258813
571948,"Milner, Hoby","L",1043,158,"-2.7",2.8920880370098856,4.298926174,0.6544353676919211,4.403488625383045
592155,"Booser, Cam","L",695,111,"39.2",1.8586145396444933,5.742359712,0.15342255786814413,4.355263912591847
668676,"Plesac, Zach","R",208,108,"56.6",-0.9771572816824428,6.310673077,0.2998375428493076,4.370700422922667
691951,"Aldegheri, Sam","L",222,108,"37.9",1.7480920670038733,6.032882883,0.05457302757302756,4.712860982238923
642028,"Rogers, Josh","L",170,115,"35.5",2.098679635286265,5.901705882,0.2426727891370452,4.577811783579742
694462,"Waldrep, Hurston","R",133,144,"55.7",-1.0338646411226304,6.31037594,0.3774550674815383,4.238986393791967
684320,"Rodríguez, Yariel","R",1501,141,"39.8",-1.8796699363164087,5.794810127,-0.13280196416886683,4.339241032834907
